xcor,ycor,velocidad,timecreac,tramosid,tonelaje,
20124301,839944586,0,43469.01088,-1,0,
20124301,839944586,0,43469.0109,-1,0,
20124219,839944606,0.18,43469.01093,-1,0,
20124219,839944606,0.18,43469.01095,-1,0,
20124219,839944606,0.18,43469.01097,-1,0,
20124219,839944585,0.37,43469.011,-1,0,
20124219,839944574,0.18,43469.01102,-1,0,
20124219,839944553,0,43469.01104,-1,91.6,
20124220,839944532,0,43469.01106,-1,91.6,
20124220,839944532,0,43469.01109,-1,91.6,
20124220,839944522,0,43469.01111,-1,91.6,
20124220,839944522,0,43469.01113,-1,91.6,
20124220,839944479,0,43469.01116,-1,91.6,
20124220,839944479,0.18,43469.01118,-1,91.6,
20124220,839944479,0.18,43469.0112,-1,91.6,
20124220,839944479,0,43469.01123,-1,91.6,
20124220,839944479,0,43469.01125,-1,91.6,
20124220,839944469,0.18,43469.01127,-1,91.6,
20124220,839944469,0,43469.0113,-1,91.6,
20124303,839944438,0.55,43469.01132,-1,91.6,
20124303,839944417,0.37,43469.01134,-1,91.6,
20124303,839944417,0,43469.01137,-1,137.2,
20124221,839944416,0.37,43469.01139,-1,137.2,
20124303,839944417,0,43469.01141,-1,137.2,
20124303,839944406,0.18,43469.01144,-1,137.2,
20124303,839944406,0.18,43469.01146,-1,137.2,
20124304,839944385,0,43469.01148,-1,137.2,
20124304,839944364,0,43469.0115,-1,137.2,
20124304,839944364,0.18,43469.01153,-1,137.2,
20124304,839944354,0.18,43469.01155,-1,137.2,
20124304,839944332,0.18,43469.01157,-1,137.2,
20124304,839944332,0,43469.0116,-1,137.2,
20124304,839944354,0.18,43469.01162,-1,137.2,
20124304,839944364,0.18,43469.01164,-1,137.2,
20124304,839944364,0.18,43469.01167,-1,137.2,
20124386,839944355,0,43469.01169,-1,137.2,
20124304,839944354,0.18,43469.01171,-1,137.2,
20124304,839944354,0,43469.01174,-1,137.2,
20124304,839944354,0,43469.01176,-1,137.2,
20124304,839944354,0,43469.01178,-1,182,
20124304,839944354,0,43469.01181,-1,182,
20124304,839944354,0,43469.01183,-1,182,
20124304,839944364,0.37,43469.01185,-1,182,
20124386,839944365,0,43469.01187,-1,182,
20124304,839944385,0,43469.0119,-1,182,
20124304,839944385,0,43469.01192,-1,182,
20124304,839944385,0.37,43469.01194,-1,182,
20124304,839944385,0.37,43469.01197,-1,182,
20124304,839944385,0.18,43469.01199,-1,182,
20124304,839944385,0,43469.01201,-1,182,
20124304,839944364,0.18,43469.01204,-1,182,
20124304,839944364,0.18,43469.01206,-1,182,
20124304,839944385,0.18,43469.01208,-1,182,
20124304,839944385,0.18,43469.01211,-1,182,
20124303,839944406,0.18,43469.01213,-1,222.1,
20124303,839944406,0.18,43469.01215,-1,222.1,
20124303,839944406,0,43469.01218,-1,222.1,
20124303,839944417,0,43469.0122,-1,222.1,
20124303,839944417,0.18,43469.01222,-1,222.1,
