ycor,velocidad,timecreac,tramosid,tonelaje,tonhora
839869192,3592,43469.00891,235,0,7320
839870686,3741,43469.00894,235,0,7320
839872212,3592,43469.00896,235,0,7320
839874493,3370,43469.00898,388,0,7320
839874493,3370,43469.009,388,0,7320
839875979,3296,43469.00903,388,0,7320
839876691,3185,43469.00905,388,0,7320
839878169,3000,43469.00907,388,0,7320
839880571,2815,43469.0091,38,0,7320
839882096,2666,43469.00912,38,0,7320
839884218,2870,43469.00914,38,0,7320
839884920,2870,43469.00917,38,0,7320
839886335,3000,43469.00919,38,0,7320
839887709,2944,43469.00921,38,0,7320
839889630,3000,43469.00924,38,0,7320
839890890,3037,43469.00926,38,0,7320
839892129,3018,43469.00928,38,0,7320
839893253,2889,43469.00931,38,0,7320
839894282,2981,43469.00933,38,0,7320
839895207,2833,43469.00935,2693,0,7320
839896395,2778,43469.00937,2693,0,7320
839897139,2500,43469.0094,2693,0,7320
839897139,2500,43469.00942,2693,0,7320
839897485,2537,43469.00944,2693,0,7320
839898187,2574,43469.00947,2693,0,7320
839899078,2648,43469.00949,2693,0,7320
839899707,2703,43469.00951,2693,0,7320
839900326,2815,43469.00954,2693,0,7320
839901409,2833,43469.00956,2693,0,7320
839902480,2889,43469.00958,2693,0,7320
839903781,2944,43469.00961,4260,0,7320
839904483,2963,43469.00963,4260,0,7320
839906712,2889,43469.00965,4260,0,7320
839908218,2815,43469.00968,4260,0,7320
839908218,2815,43469.0097,4260,0,7320
839909658,2796,43469.00972,4260,0,7320
839912036,2778,43469.00975,4260,0,7320
839912818,2796,43469.00977,4260,0,7320
839914325,2740,43469.00979,4260,0,7320
839916363,2778,43469.00981,4260,0,7320
839917736,2944,43469.00984,4260,0,7320
839919192,3444,43469.00986,4260,0,7320
839919192,3444,43469.00988,4260,0,7320
839920783,3722,43469.00991,4260,0,7320
839922607,3926,43469.00993,4260,0,7320
839924632,4333,43469.00995,4260,0,7320
839928195,4815,43469.00998,4833,0,7320
839930699,4463,43469.01,4833,0,7320
839932739,3555,43469.01002,4833,0,7320
839932739,3555,43469.01005,4833,0,7320
839933632,3426,43469.01007,4833,0,7320
839936183,3444,43469.01009,4833,0,7320
839937861,3555,43469.01012,4833,0,7320
839939561,3426,43469.01014,4833,0,7320
839941435,2407,43469.01016,4833,0,7320
839942278,2315,43469.01019,4833,0,7320
839943521,1814,43469.01021,4833,0,7320
null,null,43469.01023,null,null,7320
null,null,43469.01025,null,null,7320
null,null,43469.01028,null,null,7320
null,null,43469.0103,null,null,7320
null,null,43469.01032,null,null,7320
null,null,43469.01035,null,null,7320
null,null,43469.01037,null,null,7320
null,null,43469.01039,null,null,7320
null,null,43469.01042,null,null,7320
null,null,43469.01044,null,null,7320
null,null,43469.01046,null,null,7320
839945679,592,43469.01049,4833,0,7320
839945402,648,43469.01051,4833,0,7320
839945115,555,43469.01053,-1,0,7320
839944837,592,43469.01056,-1,0,7320
839944612,259,43469.01058,-1,0,7320
839944579,55,43469.0106,-1,0,7320
839944610,18,43469.01062,-1,0,7320
839944589,55,43469.01065,-1,0,7320
839944556,18,43469.01067,-1,0,7320
839944556,0,43469.01069,-1,0,7320
839944556,18,43469.01072,-1,0,7320
839944556,18,43469.01074,-1,0,7320
839944576,0,43469.01076,-1,0,7320
839944577,0,43469.01079,-1,0,7320
839944576,0,43469.01081,-1,0,7320
839944554,18,43469.01083,-1,0,7320
839944554,18,43469.01086,-1,0,7320
839944586,0,43469.01088,-1,0,7320
839944586,0,43469.0109,-1,0,7320
839944606,18,43469.01093,-1,0,7320
839944606,18,43469.01095,-1,0,7320
839944606,18,43469.01097,-1,0,7320
839944585,37,43469.011,-1,0,7320
839944574,18,43469.01102,-1,0,7320
839944553,0,43469.01104,-1,916,7320
