Fecha,Turno,Area,Actividad,Origen,Destino,Volquete,Placa,Capacidad,PesoViaje,Contrata,EquipoCarguio,# Pases,Capacidad Exc,TipoEquipoCarguio,Material,CicloVolquete,Tarifa,Monto,CCosto,ToneladaSeca,HorasHorometros,VelocidadPromedio
24/01/2021,Día,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_1516MA,,24,37.392,TRANSPORTES LA MAMITA,374DL_03MAC,5,5,Excavadora Producción,Mineral,30.5,50,203.335,1403,288.830764,10.15,13.742
24/01/2021,Día,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_1518MA,,24,37.392,TRANSPORTES LA MAMITA,374DL_03MAC,5,5,Excavadora Producción,Mineral,30.5,50,127.085,1403,180.519228,9.34,13.803
24/01/2021,Día,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_602TRA,TOH-867,24,37.392,TRANSPORTES TRA S.A.C.,750DL_01CED,5,5.16,Excavadora Producción,Mineral,30.5,50,254.165,1403,361.038456,10.64,13.845
24/01/2021,Día,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_602TRA,TOH-867,24,37.392,TRANSPORTES TRA S.A.C.,374DL_03MAC,5,5,Excavadora Producción,Mineral,30.5,50,76.25,1403,108.311536,10.64,13.845
24/01/2021,Día,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_603TRA,T0H-903,24,37.392,TRANSPORTES TRA S.A.C.,750DL_01CED,5,5.16,Excavadora Producción,Mineral,30.5,50,76.25,1403,108.311536,7.26,13.446
24/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_407RAP,,24,37.392,CONTRATA DE TRANSPORTES RAPESA S.A.C.,750DL_01CED,5,5.16,Excavadora Producción,Mineral,31.38,50,209.2,1403,288.830764,9.3,13.709
24/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_409RAP,,24,37.392,CONTRATA DE TRANSPORTES RAPESA S.A.C.,750DL_01CED,5,5.16,Excavadora Producción,Mineral,31.38,50,287.65,1403,397.142301,11,14.609
24/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_1002ECO,T0L-825,24,37.392,ECOSM SHIRACMACA,750DL_01CED,5,5.16,Excavadora Producción,Mineral,31.38,50,261.5,1403,361.038456,10.13,14.456
24/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_149SAG,T0A-917,24,37.392,M.J.B. TRANSPORTES SAGITARIO S.A.C.,390FL_01SS,4,6,Excavadora Producción,Mineral,31.38,50,78.45,1403,108.311536,6.69,14.118
24/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_928SS,T0Q-915,24,37.392,SERVI-SAP S.R.L.,390FL_01SS,4,6,Excavadora Producción,Mineral,31.38,50,104.6,1403,144.415382,10.22,14.77
24/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_929SS,T0Q-913,24,37.392,SERVI-SAP S.R.L.,390FL_01SS,4,6,Excavadora Producción,Mineral,31.38,50,104.6,1403,144.415382,9.12,14.963
24/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_931SS,T0Q-878,24,37.392,SERVI-SAP S.R.L.,390FL_01SS,4,6,Excavadora Producción,Mineral,31.38,50,78.45,1403,108.311536,10.19,15.323
24/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_932SS,T0Q-863,24,37.392,SERVI-SAP S.R.L.,390FL_01SS,4,6,Excavadora Producción,Mineral,31.38,50,104.6,1403,144.415382,10.56,14.722
24/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_933SS,T0Q-864,24,37.392,SERVI-SAP S.R.L.,390FL_01SS,4,6,Excavadora Producción,Mineral,31.38,50,104.6,1403,144.415382,3.77,15.294
24/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_934SS,T0Q-861,24,37.392,SERVI-SAP S.R.L.,390FL_01SS,4,6,Excavadora Producción,Mineral,31.38,50,104.6,1403,144.415382,10.18,15.001
24/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_935SS,T0Q-877,24,37.392,SERVI-SAP S.R.L.,390FL_01SS,4,6,Excavadora Producción,Mineral,31.38,50,104.6,1403,144.415382,10.81,16.03
24/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_936SS,T0Q-927,24,37.392,SERVI-SAP S.R.L.,390FL_01SS,4,6,Excavadora Producción,Mineral,31.38,50,104.6,1403,144.415382,10.02,15.502
24/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_939SS,T0Q-879,24,37.392,SERVI-SAP S.R.L.,390FL_01SS,4,6,Excavadora Producción,Mineral,31.38,50,78.45,1403,108.311536,10.61,15.115
